book_title,book_author,book_translator,book_pub_date,book_isbn
"IT CookBook, 오라클로 배우는 데이터베이스 개론과 실습","박우창 , 남송휘 , 이현룡 ",2014-06-19,584 쪽,4118
회사에서 바로 통하는 엑셀&파워포인트 2007,"한은숙 , 고경희 ",2008-06-11,508 쪽,1488
린 고객 개발 : 고객의 지갑을 여는 제품 만들기,신디 앨버레즈 ,"박주훈 , 이광호 ",2015-04-27,9788968481864
회사에서 바로 통하는 파워포인트 2010,"이상훈 , 김연희 ",2011-05-03,464 쪽,1801
사물 인터넷 · 웨어러블 Ver 0.9: 새로운 IT 플랫폼을 완성하는 서비스 기획 · UX 가이드,송태민 ,2015-03-28,264 쪽,2163
"IT CookBook, 파워포인트 2007 실무와 활용",고경희 ,2014-02-17,420 쪽,4090
린 분석 : 성공을 예측하는 31가지 사례와 13가지 패턴,"앨리스테어 크롤 , 벤저민 요스코비츠 ",위선주 ,2014-01-02,9788968480690
린 스타트업: 실리콘밸리를 뒤흔든 IT 창업 가이드,애시 모리아 ,위선주 ,2012-11-17,9788979149692
"IT CookBook, 쉽게 배우는 알고리즘(개정판)",문병로 ,2018-01-20,528 쪽,4375
"IT CookBook, 엑셀과 파워포인트 2010 실무와 활용","전미진 , 고경희 ",2014-02-24,648 쪽,4078
회사에서 바로 통하는 액세스 2007,김재훈 ,2008-01-28,600 쪽,1535
"IT CookBook, 컴퓨터 활용과 실습 : 컴퓨터 기초, 한글 2014, 엑셀 2013, 파워포인트 2013",김주영 ,2015-02-02,464 쪽,4149
"IT CookBook, 초보자의 첫 번째 엑셀 2010",양숙희 ,2013-03-12,152 쪽,4010
"IT CookBook, 초보자의 첫 번째 엑셀 2007",양숙희 ,2014-02-19,140 쪽,4000
PMP 바이블 : PMP 자격증 취득의 길로 안내하는 가장 확실한 지침서 (전2권 세트),"강정배 , 서정훈 , 이지현 , 박주진 ",2015-01-07,972 쪽,2160
엑셀 2007 바이블: 엑셀의 거의 모든 기능,최준선 ,2008-11-28,864 쪽,1604
"IT CookBook, 초보자의 첫 번째 파워포인트 2010",최희식 ,2013-07-28,176 쪽,4053
회사에서 바로 통하는 엑셀&파워포인트 2010,"이희정 , 전미진 ",2010-09-16,528 쪽,1763
테스트 주도 개발 : 고품질 쾌속개발을 위한 TDD 실천법과 도구,채수원 ,2010-06-08,584 쪽,1726
린 마인드셋 : 린 스타트업을 위한 경영 철학,"메리 포펜딕 , 톰 포펜딕 ",위선주 ,2014-04-02,9788968480928
HTML5 보일러플레이트 : 크로스 브라우징과 반응형 웹을 위한 어비의 노하우,송태민 ,2013-06-30,143 쪽,
모바일 보일러플레이트 : 모바일 웹 개발 실무를 위한 어비의 노하우,송태민 ,2013-10-20,118 쪽,
"IT CookBook, C로 배우는 쉬운 자료구조(개정3판)",이지영 ,2016-07-28,596 쪽,4269
회사에서 바로 통하는 엑셀+파워포인트+워드 2010,"전미진 , 이화진 , 신면철 ",2011-08-22,464 쪽,1853
회사에서 바로 통하는 엑셀 2007 개정판,전미진 ,2009-08-21,516 쪽,1677
"IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010","김주영 , 정영준 ",2013-03-20,496 쪽,4015
엑셀 2010 바이블,최준선 ,2011-09-28,1064 쪽,1854
"IT CookBook, 엑셀 2010 실무와 활용",전미진 ,2014-02-24,428 쪽,4080
"IT CookBook, 초보자의 첫 번째 워드 2010",최희식 ,2014-02-19,160 쪽,4098
"IT CookBook, C C++로 배우는 자료구조론",주우석 ,2015-02-24,696 쪽,4178
회사에서 바로 통하는 엑셀+파워포인트+워드 2013(개정판),"전미진 , 이화진 , 신면철 ",2014-10-28,564 쪽,2136
"IT CookBook, 엑셀과 파워포인트 2013 개정판",강동진 외 4 ,2015-04-10,556 쪽,4177
회사에서 바로 통하는 엑셀&파워포인트 2013,"이희정 , 전미진 ",2014-11-25,452 쪽,2140
엑셀 2010 함수 바이블,이동숙 ,2011-02-28,648 쪽,1808
"IT CookBook, 자바로 배우는 쉬운 자료구조",이지영 ,2013-07-02,536 쪽,4042
알고리즘 문제 풀이 전략,"조중필 , 한현상 , 이주호 ",2016-06-01,724 쪽,2270
회사에서 바로 통하는 엑셀 2010 함수 이해&활용,최준선 ,2012-09-17,536 쪽,1963
"IT CookBook, 초보자의 첫 번째 파워포인트 2007",고경희 ,2009-11-05,172 쪽,1702
"IT CookBook, 초보자의 첫 번째 한글 2010",양숙희 ,2014-08-01,152 쪽,4112
"IT CookBook, 인터넷 윤리","최희식 , 김상균 ",2016-08-26,400 쪽,4250
"IT CookBook, 파워포인트 2013 for Beginner",최희식 ,2014-10-28,176 쪽,4128
"IT CookBook, 액세스 2007 for Beginner",박명철 ,2008-12-28,436 쪽,1609
"IT CookBook, 워드 2013 for Beginner",최희식 ,2014-10-28,160 쪽,4138
자바스크립트 자료구조와 알고리즘 : 구조적이고 효율적인 자바스크립트 프로그래밍 기법 익히기,마이클 맥밀런 ,우정은 ,2014-08-28,9788968481222
회사에서 바로 통하는 파워포인트 2007(개정판),이희정 ,2009-10-14,448 쪽,1690
"IT CookBook, 한글 2014 for Beginner",양숙희 ,2014-12-04,152 쪽,4141
"IT CookBook, 초보자의 첫 번째 워드 2007",최희식 ,2009-11-05,132 쪽,1699
"IT CookBook, C로 배우는 쉬운 자료구조(개정판)",이지영 ,2013-07-28,608 쪽,4038
"IT CookBook, 파워포인트 2013 : 기본 기능부터 프레젠테이션 스킬까지 한번에!","채종서 , 차유빈 ",2014-12-17,496 쪽,4137
회사에서 바로 통하는 액세스 2010,김재훈 ,2011-01-05,648 쪽,1784
"IT CookBook, 초보자의 첫 번째 액세스 2007",최희식 ,2009-11-05,132 쪽,1696
"IT CookBook, 엑셀 2007 실무와 활용",한은숙 ,2014-02-17,416 쪽,4091
공학과 경영,김상균 ,2016-07-07,404 쪽,4262
"IT CookBook, OpenGL로 배우는 3차원 컴퓨터 그래픽스",주우석 ,2013-08-18,908 쪽,4050
"IT CookBook , 엑셀과 파워포인트 2016",김지연 ,2017-12-27,512 쪽,4376
"IT CookBook, 쉽게 배우는 유전 알고리즘 : 진화적 접근법",문병로 ,2014-09-02,284 쪽,4135
"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2010",김지연 ,2013-08-21,536 쪽,4036
회사에서 바로 통하는 엑셀 2016,한은숙 ,2017-07-05,556 쪽,2335
쇼핑몰 디자인&제작북 with 포토샵+플래시+드림위버,임화연 ,2011-03-21,548 쪽,1821
사전처럼 바로 찾아 쓰는 HTML5 핵심 API,하타노 후토미 ,윤준 ,2011-12-01,9788979148732
프로젝트로 배우는 HTML5+자바스크립트,지닌 마이어 ,김지원 ,2012-06-22,9788979149241
자바스크립트 성능 최적화: High Performance JavaScript,니콜라스 자카스 ,한선용 ,2011-09-15,9788979148558
쇼핑몰 창업+운영+제작 북(인터넷 쇼핑몰 대표 강사와 함께하는),"정희전 , 착한사진연구소(남상욱 ",2012-05-24,428 쪽,1917
위닝 프레젠테이션 : 프레젠테이션 전문 코치가 1:1로 가르쳐주는 30가지 비밀,채종서 ,2014-03-27,300 쪽,2089
Head First HTML and CSS(개정판) : HTML5를 적용한 웹 제작 지침서,"엘리자베스 롭슨 , 에릭 프리먼 ","홍형경 , 우재남 ",2013-04-11,9788968480126
"인사이드 자바스크립트 : 핵심 개념과 원리를 정확하게. jQuery, Node.js, 클로저의 개념까지","송형주 , 고현준 ",2014-01-02,284 쪽,2065
Head First HTML with CSS & XHTML : 웹2.0 시대의 웹 표준 학습법,"에릭 프리먼 , 엘리자베스 프리먼 ",홍형경 ,2006-05-28,8979144105
"IT CookBook, 컴퓨터 비전",오일석 ,2014-07-01,600 쪽,4121
10년차 디자이너에게 1:1로 배우는 포토샵 디자인 강의,정다영 ,2015-01-28,440 쪽,2166
함수형 자바스크립트 : 새롭고 올바른 자바스크립트 프로그래밍 기법,마이클 포거스 ,우정은 ,2014-01-28,9788968480799
한 번에 배우는 HTML5+자바스크립트,지닌 마이어 ,김지원 ,2011-05-22,9788979148268
엑셀 2016 바이블,최준선 ,2016-09-30,1092 쪽,2482
Head First Design Patterns: 스토리가 있는 패턴 학습법,"에릭 프리먼 , 엘리자베스 프리먼 , 케이시 시에라 , 버트 베이츠 ",서환수 ,2005-08-22,8979143400
엑셀 2016 매크로&VBA 바이블,최준선 ,2016-02-26,1364 쪽,2267
창의적 공학설계(개정판),김은경 ,2016-01-08,404 쪽,4238
엑셀 함수&수식 바이블: 회사에서 필요한 함수&수식은 모두 있다!,최준선 ,2015-04-28,760 쪽,2182
"IT CookBook, 디지털 영상처리 입문 : 오감을 자극하는 3차원 입체 학습","신종홍 , 장선봉 , 지인호 ",2015-02-16,600 쪽,4176
맛있는 디자인 포토샵 & 드림위버 CC,"임화연 , 이해령 ",2016-08-10,508 쪽,2496
쇼핑몰 디자인 제작 북,"임화연 , 이해령 ",2017-12-05,416 쪽,10031
엑셀 피벗&파워 쿼리 바이블,최준선 ,2017-11-05,628 쪽,10008
인포그래픽 프레젠테이션 : 보는 순간 착 달라붙는 인포그래픽 제작 비법 68,곽승원 ,2014-01-02,312 쪽,2075
Head First JavaScript Programming : 게임과 퍼즐로 배우는 자바스크립트 입문서,"에릭 프리먼 , 엘리자베스 롭슨 ",강권학 ,2015-01-27,9788968481567
slide:ology - 위대한 프레젠테이션을 만드는 예술과 과학,낸시 두아르떼(Nancy Duarte) ,서환수 ,2010-03-08,9788979147308
"자바스크립트 웹 애플리케이션 : 제이쿼리, Node.js, 웹소켓, 스파인, 백본, 자바스크립트MVC",알렉스 맥카우 ,우정은 ,2012-06-18,9788979149258
기계 학습,오일석 ,2017-12-05,664 쪽,4158
"데이터과학 입문: 구글, MS, 이베이 데이터과학자에게 배우다","레이철 슈트 , 캐시 오닐 ","윤영민 , 허선 , 전희주 , 김정일 , 류자현 ",2014-10-28,9788968481352
설계 프로세스로 배우는 창의적 공학설계,노승환 ,2014-06-27,336 쪽,4109
"하이브리드 앱을 구현하는 기술 : HTML5, 자바스크립트, 코도바(폰갭)로 만드는 안드로이드와 iOS 앱 개발","구보타 미츠노리 , 아시알 주식회사 ",김성재 ,2015-02-17,9788968481680
Head First Python : 머리에 쏙쏙 들어오는 파이썬 안내서(수정판),폴 베리 ,강권학 ,2016-03-28,9788968482724
Elemental Design Patterns : 객체지향과 디자인 패턴의 연결 고리,제이슨 맥컴 스미스 ,김지원 ,2013-05-02,9788968480140
"IT CookBook, 영상을 이용한 디지털 신호처리 : 실제적인 사례와 응용","엄민영 , 김성제 ",2014-01-28,288 쪽,4085
당신의 프레젠테이션이 항상 그 모양인 이유,전철웅 ,2011-05-28,192 쪽,1780
누구나 할 수 있는 인포그래픽 with 파워포인트,곽승원(꽉군) ,2015-11-27,312 쪽,2243
Head First Java: 뇌 회로를 자극하는 자바 학습법(개정판),"케이시 시에라 , 버트 베이츠 ",서환수 ,2005-11-16,8979143710
파워포인트 블루스,김용석 ,2009-05-21,256 쪽,1665
리눅스 시스템 프로그래밍(개정2판) : 커널과 C 라이브러리로 풀어가는(리눅스 3.x 최신 커널 기반),로버트 러브 ,김영근 ,2014-12-26,9788968481482
맛있는 디자인 포토샵 & 일러스트레이터 CC,"박정아 , 박효근 , 윤이사라(포완카) ",2016-05-16,556 쪽,2276
창의융합 프로젝트 아이디어북 : Creative Convergence Capstone Design with PBL,조준동 ,2015-06-10,256 쪽,4185
"IT CookBook, VHDL을 이용한 FPGA 디지털 설계 : 실습부터 응용까지",노승환 ,2014-01-28,464 쪽,4083
컨설턴트가 알려주는 보고서 작성의 기술 with 파워포인트,홍장표 ,2015-07-17,336 쪽,2192
실전으로 배우는 발명·특허,윤상원 ,2014-06-30,300 쪽,4116
"IT CookBook, 컴퓨터 구조와 원리 2.0 : 비주얼 컴퓨터 아키텍처",신종홍 ,2013-08-21,640 쪽,4031
자바 객체지향 디자인 패턴: UML과 GoF 디자인 패턴 핵심 10가지로 배우는,"정인상 , 채흥석 ",2014-04-28,504 쪽,2091
"IT CookBook, 디지털 시스템 설계 및 실습 with VHDL & Verilog HDL",노승환 ,2017-01-02,440 쪽,4299
"모던 웹을 위한 Node.js 프로그래밍(개정판) : 페이스북, 월마트, 링크드인이 선택한 자바스크립트 + 노드제이에스 서버 프로그래밍",윤인성 ,2013-09-03,484 쪽,2043
"창의와 혁신의 시크릿, 트리즈 : Training How To Think Inventively",김은경 ,2015-07-10,320 쪽,4190
만들면서 배우는 HTML5 게임 프로그래밍: PC와 스마트폰을 한 번에 잡는 멀티 플랫폼 게임 프로그래밍,황동윤 ,2013-06-22,716 쪽,2022
"IT EXPERT, 리눅스 커널 프로그래밍",한동훈 ,2007-01-02,1104 쪽,1460
Head First Servlets & JSP(개정판) : 상상력을 자극하는 몰입의 학습법,"케이시 시에라 , 버트 베이츠 , 브라얀 바샴 ",김종호 ,2009-02-02,9788979146639
이것이 자바다,신용권 ,2015-01-06,1224 쪽,2147
회사에서 바로 통하는 한글 NEO FOR STARTERS,신면철 ,2017-06-28,172 쪽,2809
"IT CookBook, VHDL을 이용한 디지털 회로 입문","나미키 히데아키 , 나가이 다카미치 ","김은성 , 이영희 ",2009-05-30,9788979146714
28일 동안 배우는 리눅스 서버 관리,카사노 히데마츠 ,김성재 ,2014-09-28,9788968481215
"리눅스 커널의 이해, 개정 3판","다니엘 보베이 , 마르코 체사티 ",박장수 ,2006-09-28,8979144326
"IT CookBook, 디지털 신호 처리 : 기본 이론부터 MATLAB 실습까지",이철희 ,2013-07-31,640 쪽,4030
"뇌를 자극하는 RedHat Fedora 리눅스 서버 & 네트워크, 3판",우재남 ,2014-09-02,792 쪽,2120
"IT CookBook, 디지털 공학 : 논리회로의 설계 원리","김대정 , 모현선 ",2013-12-02,596 쪽,4076
"MongoDB 몽고디비 완벽 가이드 : 페이스북, 트위터가 선택한 NoSQL의 진수를 만나다! (개정2판)",크리스티나 초도로우 ,"이승구 , 김인범 ",2014-04-24,9788968480959
"IT CookBook, 컴퓨터 아키텍처 : 컴퓨터 구조 및 동작 원리",우종정 ,2014-08-11,572 쪽,4132
이것이 리눅스다,우재남 ,2015-06-25,796 쪽,2196
맥 사용자를 위한 엑셀+파워포인트+워드 2016 : Office for Mac,장경호 ,2016-02-26,438 쪽,2259
만들면서 배우는 안드로이드 게임 프로그래밍(개정판),황동윤 ,2013-06-20,416 쪽,2024
UNIX V6로 배우는 커널의 원리와 구조 : 고전으로 익히는 운영체제,아오야기 타카히로 ,조만석 ,2014-05-28,9788968480966
회사에서 바로 통하는 파워포인트 2016 FOR STARTERS,이화진 ,2017-04-14,208 쪽,2346
회사에서 바로 통하는 엑셀&파워포인트 2016,"전미진 , 이화진 ",2017-07-07,468 쪽,2333
뇌를 자극하는 Java 프로그래밍,김윤명 ,2006-09-04,908 쪽,1397
회사에서 바로 통하는 엑셀+파워포인트 2016&한글 NEO&윈도우 10,"전미진 , 이화진 , 신면철 , 박광수(아크몬드) ",2018-01-02,698 쪽,10025
뇌를 자극하는 JSP & Servlet,김윤명 ,2010-12-15,836 쪽,1750
"IT CookBook, 처음 만나는 디지털 논리회로","임석구 , 홍경호 ",2016-07-25,448 쪽,4263
회사에서 바로 통하는 엑셀 2016 FOR STARTERS,전미진 ,2017-03-15,260 쪽,2345
"IT CookBook, 알기 쉬운 최신 VLSI 설계: CMOS부터 SoC까지",조준동 ,2015-09-17,396 쪽,4197
회사에서 바로 통하는 엑셀+파워포인트 2016&한글 NEO,"전미진 , 이화진 , 신면철 ",2017-07-12,584 쪽,2336
맵리듀스 디자인 패턴 : 하둡과 빅데이터에 효과적인 6가지 방법론과 26가지 실용 패턴,"도널드 마이너 , 아담 슈크 ","이주열 , 오석근 ",2013-07-24,9788968480348
"IT CookBook, 핵심이 보이는 신호 및 시스템 : 기본 이론부터 MATLAB 실습까지",이철희 ,2015-01-09,628 쪽,4146
"IT CookBook, 쉽게 배우는 자바 프로그래밍",우종정 ,2017-08-02,692 쪽,4329
"IT CookBook, 임베디드 리눅스 기초와 응용","우종정 , 사공준 ",2017-01-24,488 쪽,4313
HBase 완벽 가이드: 하둡 환경에서 실시간 빅데이터 랜덤 엑세스를 제공하는 클라우드 NoSQL,라스 조지 ,이진석 ,2013-01-26,9788979148381
맥 쓰는 사람들과 함께하는 Mac OS X 바이블,고래돌이(김상우) ,2015-01-27,600 쪽,2162
머하웃 완벽 가이드(Mahout in Action): 하둡에 딱 맞는 빅데이터를 활용한 기계학습,"션 오웬 , 로빈 애닐 , 테드더닝 , 엘렌 프리드만 ",안태성 ,2012-10-23,9788979149609
"IT CookBook, 기초전자실험(개정판) : with PSpice",홍순관 ,2016-06-10,296 쪽,4258
회사에서 바로 통하는 엑셀 실무 강의,전미진 ,2016-09-08,460 쪽,2491
"IT CookBook, 유닉스 시스템 프로그래밍",이종원 ,2010-01-12,520 쪽,1715
도와주세요! 맥북이 생겼어요 : Mac OS X Yosemite 요세미티,김경범 ,2014-11-28,228 쪽,2133
키노트 6.x 프레젠테이션 : 키노트 사용자를 위한 기본+활용법,윤춘근 ,2014-06-20,456 쪽,2112
실시간 분석의 모든 것: 스트리밍 데이터 분석 및 시각화 시스템 구축 가이드,바이런 엘리스 ,이상훈 ,2015-12-11,9788968482298
회사에서 바로 통하는 엑셀 데이터 활용+분석,"김경자 , 송선영 ",2016-06-30,432 쪽,2282
"IT CookBook, JUST JAVA : 객체지향에 충실한 자바다운 자바",황희정 ,2015-10-26,512 쪽,4201
"IT CookBook, C 언어로 배우는 8051 마이크로프로세서",임석구 ,2014-07-28,596 쪽,4127
실전 하둡 운용 가이드 : 대규모 하둡 클러스터 관리를 위한 필수 노하우,에릭 새머 ,장형석 ,2013-07-24,9788968480300
맥 쓰는 사람들과 함께하는 macOS 하이 시에라,고래돌이 ,2017-11-10,504 쪽,10023
"IT CookBook, GOOD JAVA : 프로그래밍을 시작하는 사람들을 위한",우재남 ,2016-02-16,600 쪽,4244
"IT CookBook, 처음 만나는 회로이론",방성완 ,2016-01-12,384 쪽,4235
"IT CookBook, CMOS 디지털 집적회로 설계 : 기본 이론부터 실습까지",신경욱 ,2014-05-30,464 쪽,4110
"IT CookBook, 기초 회로이론(개정판) : 선형회로해석의 기본 원리",최윤식 ,2014-07-22,480 쪽,4129
맥 쓰는 사람들과 함께하는 macOS 시에라,고래돌이 ,2017-02-15,578 쪽,2458
"IT CookBook, 유닉스 시스템 프로그래밍",이종원 ,2017-07-17,520 쪽,4332
"IT CookBook, 유닉스 이론과 실습(개정판)","윤소정 , 이종원 ",2013-07-28,548 쪽,4051
"IT CookBook, 회로이론 : Circuits","Fawwaz T. Ulaby , Michel M. Maharbiz ","박병국 , 조성재 , 강인만 , 김중빈 ",2014-07-22,9791156641193
회사에서 바로 통하는 엑셀 함수 실무 강의,"김경자 , 송선영 ",2017-05-31,468 쪽,2805
easy LED : 초보자를 위한 LED 가이드북,홍순관 ,2017-01-02,204 쪽,4300
"IT CookBook, 기초 신호 및 시스템",이철희 ,2016-07-18,492 쪽,4265
"IT CookBook, 자바 프로그래밍 기초 : 원리부터 응용까지",고응남 ,2008-12-15,592 쪽,1652
만들면서 배우는 기계 학습: 생각을 만드는 빅데이터 기술,오다카 토모히로 ,김성재 ,2012-06-18,9788979149234
"IT CookBook, 프로젝트로 배우는 자바 웹 프로그래밍",황희정 ,2014-01-09,692 쪽,4068
사전처럼 바로 찾아 쓰는 자바7 : 기본부터 심화까지 해결하는 문제 해결의 길잡이,조시 주노 외 3인 ,백기선 외 8인 ,2013-10-28,9788968480546
"IT CookBook, 기초 회로이론(개정 2판)",최윤식 ,2017-12-28,484 쪽,4371
"IT CookBook, 페도라 리눅스(개정판)",이종원 ,2017-11-10,856 쪽,4159
"IT CookBook, 전자회로 : 핵심 개념부터 응용까지","강문식 , 신경욱 ",2013-07-25,860 쪽,4048
"IT CookBook, 우분투 리눅스 : 시스템 & 네트워크",이종원 ,2014-07-03,772 쪽,4120
"IT CookBook, 마이크로컨트롤러 AVR ATmega128 : 상태도를 이용한 시스템 설계",이상설 ,2013-07-02,604 쪽,4037
"IT CookBook, 핵심이 보이는 전자회로",신경욱 ,2014-07-22,608 쪽,4130
제대로 배우는 MATLAB,방성완 ,2014-10-10,424 쪽,4134
"IT CookBook, 자바 프로그래밍 바이블","오경주 , 염기호 , 정용훈 ",2016-08-12,948 쪽,4273
키노트 프레젠테이션(키노트 사용자를 위한 기본+활용법),윤춘근 ,2011-11-21,376 쪽,1878
"IT CookBook, 핵심이 보이는 전자회로 실험 with PSPICE",신경욱 ,2017-11-30,464 쪽,4365
"IT CookBook, MATLAB으로 배우는 공학 수치해석",방성완 ,2014-01-24,352 쪽,4084
"IT CookBook, New 정보통신개론 : 기본 이론부터 사물인터넷 개념까지",고응남 ,2015-07-03,560 쪽,4195
"IT CookBook, ASP.NET 4.0 프로그래밍",김동아 ,2014-02-19,684 쪽,4102
"IT CookBook, 통신시스템의 기초 : Fundamentals of Communications Systems",마이클 피츠 ,"고균병 , 이종형 , 장은영 , 홍대기 ",2009-03-09,9788979146554
"IT CookBook, 아날로그 CMOS 집적회로 설계 : Design of Analog CMOS Integrated Circuits",버자드 라자비(Behzad Razavi) ,"김대정 , 이강윤 , 이종창 ",2009-05-15,9788979146721
"IT CookBook, 원리로 이해하는 통신이론 : Analog & Digital Communications",한동석 ,2015-01-01,352 쪽,4144
"IT CookBook, 기초전자실험 : with PSpice",홍순관 ,2013-03-19,240 쪽,4012
"IT CookBook, 페도라 리눅스 : 시스템 & 네트워크",이종원 ,2014-01-02,768 쪽,4065
"IT CookBook, 광통신 공학 : MATLAB과 함께하는 광통신 시스템",이종형 ,2015-02-24,480 쪽,4175
MATLAB으로 배우는 공학수학 : Engineering Mathematics,소상균 ,2014-01-28,736 쪽,4087
"IT CookBook, New 데이터통신과 네트워킹 : 차세대 통신을 위한 밑그림",강문식 ,2014-11-27,520 쪽,4142
"IT CookBook, 디지털 집적회로 해석 및 설계","데이비드 하지즈 , 호레스 잭슨 , 레스베 살레 ",김대정 ,2010-08-20,9788979147513
케스케이딩 완벽 가이드 : 빅데이터 분석을 위한 하둡 워크플로우 관리 도구,파코 네이선 ,"오세봉 , 장정호 ",2014-01-17,9788968480775
MATLAB으로 배우는 선형대수학 : Linear Algebra with MATLAB,"이광연 , 설한국 ",2015-06-10,540 쪽,4184
하둡 완벽 가이드 : 클라우드 컴퓨팅 구축을 위한 실전 안내서(개정3판),톰 화이트 ,"심탁길 , 김우현 ",2013-06-22,9788968480201
"IT CookBook, 디지털 통신 시스템 : Digital Communication Systems","정호영 , 임승각 ",2011-01-31,576 쪽,1798
"IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크",박기현 ,2013-09-15,516 쪽,4061
자바7 NIO.2: 파일&네트워크 프로그래밍,앵겔 레너드 ,조태현 ,2012-06-28,9788979149319
"IT CookBook, 네트워크 개론(개정판) : 쉽게 배우는 네트워크의 기본 원리",진혜진 ,2014-01-07,400 쪽,4073
"IT EXPERT, ASP.NET 2.0 웹 프로젝트와 실전 프로그래밍",조성진 ,2006-07-03,1196 쪽,1418
"IT CookBook, 단계별로 배우는 전자회로 실험 : 기본 소자부터 응용 회로까지",이강윤 ,2014-06-05,456 쪽,4111
뇌를 자극하는 ASP.NET 2.0 프로그래밍,이시환 ,2006-07-06,904 쪽,1408
"IT CookBook, 단계별로 따라하며 배우는 디지털 공학 실험","이승호 , 민경옥 ",2013-08-21,372 쪽,4049
하이브 완벽 가이드: 하둡을 이용한 SQL 기반 빅데이터 분석 도구,"에드워드 카프리올로 , 딘 웜플러 , 제이슨 러더글렌 ",오세봉 외 ,2013-03-28,9788968480072
최신 공학수학 with Sage Ⅱ,"이상구 , 김영록 , 박준현 , 김응기 , 이재화 ",2016-01-12,444 쪽,4210
"IT CookBook, 디지털 논리회로 실험 : 120개의 기본 실험과 12개의 텀 프로젝트","임석구 , 홍경호 ",2014-01-08,440 쪽,4075
수식이 보이는 공학수학 : Engineering Mathematics,장윤석 ,2013-03-07,492 쪽,4006
MongoDB 활용 가이드: 스케일링과 50가지 팁,크리스티나 초도로우 ,이진석 ,2011-12-09,9788979148862
최신 공학수학 with Sage Ⅰ,"이상구 , 김영록 , 박준현 , 김응기 , 이재화 ",2016-01-12,500 쪽,4209
하둡 완벽 가이드(4판),톰 화이트 ,"장형석 , 장정호 , 임상배 , 김훈동 ",2017-03-01,9788968484599
"IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크 (개정판)",박기현 ,2016-12-26,584 쪽,4304
"IT CookBook, 디지털 논리회로(개정3판) : 이론, 실습, 시뮬레이션","임석구 , 홍경호 ",2015-07-07,786 쪽,4188
기초 선형대수학 : BASIC LINEAR ALGEBRA,"이광연 , 설한국 , 김진수 ",2013-11-02,456 쪽,4064
easy LTE : 초보 기술자를 위한 이동통신 가이드북,이상근 ,2015-07-10,232 쪽,4183
"IT CookBook, 확률과 랜덤 과정",정호영 ,2018-01-15,340 쪽,4379
"IT CookBook, 디지털 실험 : with PSpice",홍순관 ,2013-12-31,292 쪽,4077
"IT CookBook, 공업수학 : 기본 개념부터 응용까지",이준탁 ,2015-02-16,560 쪽,4174
팟캐스트 나는 프로그래머다 2탄,"임백준 , 정도현 , 김호광 ",2016-06-23,436 쪽,2290
"IT CookBook, 기초 전기전자 에센스","모현선 , 장성용 , 홍익표 ",2016-12-31,528 쪽,4297
안드로이드의 모든 것 NDK: C/C++을 이용한 안드로이드 앱 개발 방법,"고현철 , 전호철 ",2012-09-17,496 쪽,1959
헬로 데이터 과학 : 삶과 업무를 바꾸는 생활 데이터 활용법,김진영 ,2016-02-23,352 쪽,2265
"IT CookBook, New 인터넷 이해와 활용",김경신 ,2014-01-09,464 쪽,4070
웹 엔지니어가 알아야 할 인프라의 기본,바바 토시아키 ,김병국 ,2015-06-28,9788968482014
"IT CookBook, 자바스크립트 프로그래밍 입문",윤인성 ,2016-12-15,424 쪽,4278
"IT CookBook, HTML5 웹 프로그래밍 입문(개정판)",윤인성 ,2016-12-26,480 쪽,4307
전공이 보이는 미분적분학: FOR ELECTRICAL & ELECTRONIC ENGINEERS,장윤석 ,2015-05-30,312 쪽,4182
"IT CookBook, 디지털 논리회로(개정판) : 이론, 실습, 시뮬레이션","임석구 , 홍경호 ",2013-03-20,724 쪽,4014
행복한 프로그래밍(개정판),임백준 ,2016-11-18,300 쪽,2470
Hello Coding 파이썬,윤인성 ,2018-01-02,443 쪽,10027
기초 확률과 통계 : BASIC PROBABILITY & STATISTICS,박대수 ,2013-08-21,384 쪽,4054
"IT CookBook, 전기전자공학 개론(개정 5판)",Stan Gibilisco ,"권기영 , 윤석범 , 정영배 ",2013-02-11,9788998756017
맛있는 디자인 프리미어 프로 CS6 & CC,"윤성우 , 김덕영 ",2015-09-11,448 쪽,2209
MongoDB 완벽 가이드 : NoSQL의 진수를 만나다!,"크리스티나 초도로우 , 마이클 디롤프 ",윤진석 ,2011-05-19,9788979148251
초보자를 위한 안드로이드 스튜디오 : Hello World부터 채팅 앱과 벽돌깨기 게임까지,마츠오카 겐지 ,김성재 ,2016-01-22,9788968482564
"IT CookBook, 최신 이동통신 입문 : Mobile Communications",Jochen H. Schiller ,"곽경섭 , 고영채 ",2016-01-04,9791156642084
클라우드 시스템을 관리하는 기술,"토머스 리몬첼리 , 스트래터 체일럽 , 크리스티나 호건 ",류광 ,2016-02-25,9788968482618
"IT CookBook, 웹 기획 기초와 설계(개정판) : 웹 사이트, 인터페이스, 디자인",강은정 ,2013-09-15,432 쪽,4060
파이썬을 활용한 베이지안 통계: 동전 던지기와 하키 승률로 배우는 데이터 분석,앨런 B. 다우니 ,권정민 ,2014-07-14,9788968481147
